X,Y,Name,Direcci__n,Localidad,Provincia,Web,Tlf,X,Y,_info,info,n
0.0,0.000000026167978,Càmping TERRA ALTA,Ctra Bot a Prat de Compte Km-1, 43785 Bot, T,Bot,T,campingterraalta.com,673 45 06 51,"41,006,933",0.378706,https://goo.gl/maps/2Dc7kSxvuroqzYwP7
0.0,0.000000026167978,Camping Hoces de Mira,Calle Fuente, 16393 Mira, Cuenca,Mira,Cuenca,,695 90 66 91,"397,147,423",-14,366
0.0,0.000000026167978,Camping Valdevaqueros,N-340, Km 75.5, 11380 Tarifa, Cádiz,Tarifa,Cádiz,campingvaldevaqueros.com,956 68 41 74,36.0692625,-5.6805365
0.0,0.000000026167978,Camping Puente Colgante,Camino De Benecid, 0, 04460 Fondón, Almería,Fondón,Almería,,950 51 42 91,"369,847,012",-28
0.0,0.000000026167978,Camping Peña Montañesa,Ctra. Ainsa - Bielsa, km. 2, 22360 Labuerda, Huesca,Labuerda,Huesca,penamontanesa.com,974 50 00 32,"424,351,747",0.136061
0.0,0.000000026167978,Camping Alto De Viñuelas,Calle Granada, 17, 18184 Beas de Granada, Granada,Beas de Granada,Granada,campingaltodevinuelas.com,647 30 78 12,"372,252,445",-34
0.0,0.000000026167978,Camping Lloret Blau,"Carrer de l&apos;Aiguaviva s/n", 17310 Lloret de Mar, Girona,Lloret de Mar,Girona,campinglloretblau.com,972 36 54 83,"417,057,497",28,429
0.0,0.000000026167978,Camping Escarra,Carretera de Francia A-135, 15, 22660 Escarrilla, Huesca,Escarrilla,Huesca,campingescarra.com,974 48 71 28,"427,355,436",-0.3135073
0.0,0.000000026167978,"Camping D&apos;oremor",Ctra.De Cabanillas a Bustarviejo ,Km 0,700 Ctra M-631, 28721 Cabanillas de la Sierra, Madrid,Cabanillas de la Sierra,Madrid,doremor.com,918 43 90 34,"408,213,007"
0.0,0.000000026167978,Camping Cavall de Mar,Carrer de Cristòfor Colom, 46, 17300 Blanes, Girona,Blanes,Girona,cavalldemar.com,640 23 56 52,"416,624,682",27
0.0,0.000000026167978,Camping BARCELONA,N-II, Km. 650, 08304 Mataró, Barcelona,Mataró,Barcelona,campingbarcelona.com,937 90 47 20,"41,551",24
